/Users/volodimir/PycharmProjects/ML-1-Task/.venv/bin/python /Users/volodimir/PycharmProjects/ML-1-Task/monte_carlo_control_on_policy.py
Sarsa with different hyperparameters
Hyperparameters: [experiment, alpha, gamma, epsilon, decay rate, episodes, use_random_values, action_space_steps, obs_space_steps]
Episode 109/500 done, steps: 207
Episode 110/500 done, steps: 1227
Episode 111/500 done, steps: 3106
Episode 112/500 done, steps: 3186
Episode 113/500 done, steps: 2702
Episode 114/500 done, steps: 502
Episode 115/500 done, steps: 1356
Episode 116/500 done, steps: 1528
Episode 117/500 done, steps: 1082
Episode 118/500 done, steps: 1417
Episode 119/500 done, steps: 1198
Episode 120/500 done, steps: 1040
Episode 121/500 done, steps: 2180
Episode 122/500 done, steps: 1215
Episode 123/500 done, steps: 2998
Episode 124/500 done, steps: 1068
Episode 125/500 done, steps: 1797
Episode 126/500 done, steps: 605
Episode 127/500 done, steps: 4321
Episode 128/500 done, steps: 2106
Episode 129/500 done, steps: 1251
Episode 130/500 done, steps: 7031
Episode 131/500 done, steps: 11064
Episode 132/500 done, steps: 9014
Episode 133/500 done, steps: 4693
Episode 134/500 done, steps: 1438
Episode 135/500 done, steps: 1706
Episode 136/500 done, steps: 845
Episode 137/500 done, steps: 867
Episode 138/500 done, steps: 1816
Episode 139/500 done, steps: 1419
Episode 140/500 done, steps: 1918
Episode 141/500 done, steps: 2340
Episode 142/500 done, steps: 4329
Episode 143/500 done, steps: 826
Episode 144/500 done, steps: 6607
Episode 145/500 done, steps: 4293
Episode 146/500 done, steps: 2256
Episode 147/500 done, steps: 2222
Episode 148/500 done, steps: 1669
Episode 149/500 done, steps: 11956
Episode 150/500 done, steps: 628
Episode 151/500 done, steps: 834
Episode 152/500 done, steps: 1055
Episode 153/500 done, steps: 842
Episode 154/500 done, steps: 1628
Episode 155/500 done, steps: 672
Episode 156/500 done, steps: 2581
Episode 157/500 done, steps: 797
Episode 158/500 done, steps: 1812
Episode 159/500 done, steps: 1256
Episode 160/500 done, steps: 1986
Episode 161/500 done, steps: 842
Episode 162/500 done, steps: 927
Episode 163/500 done, steps: 1080
Episode 164/500 done, steps: 1073
Episode 165/500 done, steps: 2722
Episode 166/500 done, steps: 2251
Episode 167/500 done, steps: 383
Episode 168/500 done, steps: 1034
Episode 169/500 done, steps: 1272
Episode 170/500 done, steps: 2456
Episode 171/500 done, steps: 3225
Episode 172/500 done, steps: 791
Episode 173/500 done, steps: 1119
Episode 174/500 done, steps: 1627
Episode 175/500 done, steps: 2492
Episode 176/500 done, steps: 1501
Episode 177/500 done, steps: 1252
Episode 178/500 done, steps: 831
Episode 179/500 done, steps: 3440
Episode 180/500 done, steps: 1972
Episode 181/500 done, steps: 1435
Episode 182/500 done, steps: 1431
Episode 183/500 done, steps: 1660
Episode 184/500 done, steps: 1632
Episode 185/500 done, steps: 1438
Episode 186/500 done, steps: 375
Episode 187/500 done, steps: 962
Episode 188/500 done, steps: 3475
Episode 189/500 done, steps: 1194
Episode 190/500 done, steps: 979
Episode 191/500 done, steps: 1553
Episode 192/500 done, steps: 296
Episode 193/500 done, steps: 535
Episode 194/500 done, steps: 1287
Episode 195/500 done, steps: 762
Episode 196/500 done, steps: 1689
Episode 197/500 done, steps: 1306
Episode 198/500 done, steps: 2299
Episode 199/500 done, steps: 557
Episode 200/500 done, steps: 1046
Episode 201/500 done, steps: 1639
Episode 202/500 done, steps: 780
Episode 203/500 done, steps: 1109
Episode 204/500 done, steps: 451
Episode 205/500 done, steps: 759
Episode 206/500 done, steps: 719
Episode 207/500 done, steps: 802
Episode 208/500 done, steps: 1172
Episode 209/500 done, steps: 1124
Episode 210/500 done, steps: 1326
Episode 211/500 done, steps: 511
Episode 212/500 done, steps: 512
Episode 213/500 done, steps: 1525
Episode 214/500 done, steps: 2105
Episode 215/500 done, steps: 2561
Episode 216/500 done, steps: 1737
Episode 217/500 done, steps: 396
Episode 218/500 done, steps: 552
Episode 219/500 done, steps: 572
Episode 220/500 done, steps: 1229
Episode 221/500 done, steps: 446
Episode 222/500 done, steps: 374
Episode 223/500 done, steps: 844
Episode 224/500 done, steps: 829
Episode 225/500 done, steps: 2057
Episode 226/500 done, steps: 1099
Episode 227/500 done, steps: 684
Episode 228/500 done, steps: 2125
Episode 229/500 done, steps: 1084
Episode 230/500 done, steps: 4335
Episode 231/500 done, steps: 1680
Episode 232/500 done, steps: 1338
Episode 233/500 done, steps: 1081
Episode 234/500 done, steps: 1559
Episode 235/500 done, steps: 3256
Episode 236/500 done, steps: 1303
Episode 237/500 done, steps: 1938
Episode 238/500 done, steps: 1918
Episode 239/500 done, steps: 460
Episode 240/500 done, steps: 1408
Episode 241/500 done, steps: 443
Episode 242/500 done, steps: 4163
Episode 243/500 done, steps: 1423
Episode 244/500 done, steps: 373
Episode 245/500 done, steps: 2648
Episode 246/500 done, steps: 1973
Episode 247/500 done, steps: 1032
Episode 248/500 done, steps: 1162
Episode 249/500 done, steps: 658
Episode 250/500 done, steps: 1063
Episode 251/500 done, steps: 954
Episode 252/500 done, steps: 2044
Episode 253/500 done, steps: 1702
Episode 254/500 done, steps: 2111
Episode 255/500 done, steps: 1557
Episode 256/500 done, steps: 1687
Episode 257/500 done, steps: 430
Episode 258/500 done, steps: 2035
Episode 259/500 done, steps: 2383
Episode 260/500 done, steps: 1607
Episode 261/500 done, steps: 1825
Episode 262/500 done, steps: 1545
Episode 263/500 done, steps: 1806
Episode 264/500 done, steps: 4890
Episode 265/500 done, steps: 1015
Episode 266/500 done, steps: 1575
Episode 267/500 done, steps: 1376
Episode 268/500 done, steps: 1933
Episode 269/500 done, steps: 897
Episode 270/500 done, steps: 930
Episode 271/500 done, steps: 934
Episode 272/500 done, steps: 281
Episode 273/500 done, steps: 2502
Episode 274/500 done, steps: 789
Episode 275/500 done, steps: 1313
Episode 276/500 done, steps: 966
Episode 277/500 done, steps: 1635
Episode 278/500 done, steps: 2374
Episode 279/500 done, steps: 531
Episode 280/500 done, steps: 616
Episode 281/500 done, steps: 1269
Episode 282/500 done, steps: 1530
Episode 283/500 done, steps: 2859
Episode 284/500 done, steps: 3589
Episode 285/500 done, steps: 1200
Episode 286/500 done, steps: 1269
Episode 287/500 done, steps: 2048
